t,Unnamed: 0,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,gas_price_mean,gas_price_median,google_trends,transfers_med,sigma,sp500,vix,gold
2016-01-12,11,507062463477.728,317,1.070961947872964,1.295591229927076,1.053993827066382,1.167405297323936,37922,25.6307222674603,76467032.99948,10860,54526276152.4721,50000000000.0,0.0027,1.34984532,0.135736413592192,1938.6800537109375,22.469999313354492,1085.5999755859375
2016-01-13,12,491192812089.854,202,1.136712209669991,1.155176518006119,1.074448545700476,1.123329404086042,38124,60.3126094436415,76493568.31198,16158,58256098367.5146,52000000000.0,0.0038,1.06109334,0.0506951873197185,1890.280029296875,25.219999313354492,1087.5
2016-01-14,13,514373324045.329,202,1.123329404086042,1.203846216727676,1.103218162782081,1.1921884812882,38326,26.7761764050364,76520487.53073,10648,55250356300.7744,50000000000.0,0.0027,1.16137539,0.0494215629801617,1921.8399658203125,23.950000762939453,1073.9000244140625
2016-01-15,14,529144998023.854,377,1.19075532804646,1.324776340369739,1.141957944510017,1.196404992871069,38703,23.1601242177737,76547284.87448,9868,57562550443.1361,50000000000.0,0.0041,1.58590971,0.1049636852400591,1880.3299560546875,27.020000457763672,1091.5
2016-01-16,15,537270349044.268,263,1.207862694587465,1.301038412497211,1.154055524356612,1.206682935952632,38966,22.6502570572844,76573807.99948,10660,55150540725.9533,50000000000.0,0.0045,1.5710000000000002,0.0847660981743388,1880.3299560546875,27.020000457763672,1091.5
2016-01-17,16,528315777888.758,267,1.219211940855114,1.320453763913116,1.1929883386041111,1.320453763913116,39233,17.0397021972285,76600407.84323,9743,53477721573.9547,50000000000.0,0.003,1.72268879947611,0.0519077930818343,1880.3299560546875,27.020000457763672,1091.5
2016-01-18,17,555119989665.917,380,1.32255900679063,1.533245193123083,1.307775529693782,1.41887108840012,39613,30.9188099798842,76627027.99948,12916,53945900878.639496,50000000000.0,0.0049,1.6158161,0.1036394900162021,1880.3299560546875,27.020000457763672,1091.5
2016-01-19,18,548764650768.01,297,1.41742066493395,1.447905612629693,1.28716265505309,1.357560603552854,39910,35.5769582279663,76653120.81198,13416,53767376718.133,50000000000.0,0.0034,1.26629797,0.0787705751271298,1881.3299560546875,26.049999237060547,1089.9000244140625
2016-01-20,19,548847439780.703,409,1.357328411771153,1.6240013944624372,1.339699469999811,1.531316648059859,40319,19.0134918696109,76679663.31198,10609,55721616548.872604,50000000000.0,0.0041,1.824062,0.113572800141316,1859.3299560546875,27.59000015258789,1107.0999755859375
2016-01-21,20,551234113320.587,341,1.532112114786796,1.5828953396753391,1.478944328736413,1.5480606772398282,40660,20.2959758344998,76705582.53073,10728,60639283859.433205,50000000000.0,0.0049,1.56274325,0.0475985330886661,1868.989990234375,26.690000534057617,1099.0999755859375
2016-01-22,21,573292978976.024,339,1.5508321194901251,1.5827329059635842,1.465060283258547,1.508142890507989,40999,31.1813250745786,76731837.53073,13845,56195249052.258,50000000000.0,0.0025,1.62719089,0.0518008446871948,1906.9000244140625,22.34000015258789,1097.199951171875
2016-01-23,22,573454941556.911,531,1.5087684925797409,2.051979231108304,1.4997361712412531,1.964979276816832,41530,17.4328034105711,76757607.21823,11020,55504259186.7888,50000000000.0,0.0068,1.5532313800000002,0.1489446048910355,1906.9000244140625,22.34000015258789,1097.199951171875
2016-01-24,23,605351827249.734,696,1.910488800731294,2.295003897479383,1.910488800731294,2.155134787771359,42226,23.7308825767431,76784846.43698,12793,58951408558.9368,50000000000.0,0.0073,1.79091542813987,0.1058523792751333,1906.9000244140625,22.34000015258789,1097.199951171875
2016-01-25,24,583651395499.166,783,2.148334378028972,2.673939759886702,2.060375996363673,2.4928035428709823,43009,40.1912428608067,76810547.21823,17111,56752420983.2237,50000000000.0,0.0098,1.20339602,0.159466665637276,1877.0799560546875,24.149999618530273,1106.199951171875
2016-01-26,25,632657694606.807,892,2.518991163674634,2.850918190990694,1.954099248389539,2.261930684706117,43901,37.8980575475761,76837532.68698,16508,58955359850.391495,50000000000.0,0.01,1.33994348,0.2585679052929597,1903.6300048828125,22.5,1121.699951171875
2016-01-27,26,623953319360.021,727,2.253181740881652,2.5859441821970712,2.162379433505501,2.403197956344677,44628,56.8601467197169,76863637.21823,18727,58687046251.4527,52000000000.0,0.0068,1.02621813,0.1199764742840644,1882.949951171875,23.110000610351562,1116.0999755859375
2016-01-28,27,611672644920.882,963,2.403197956344677,2.686282919572974,2.328488034676414,2.5291426450088,45591,41.3560110411447,76890198.15573,16754,56180261527.6064,50000000000.0,0.0072,1.00669596,0.0959578604496065,1893.3599853515625,22.420000076293945,1115.5999755859375
2016-01-29,28,627275937328.687,924,2.5375322674369283,2.619997870697661,2.28169695673276,2.515380913011109,46515,37.4103434274615,76916362.37448,16381,59508641166.521706,50000000000.0,0.0058,1.07315124,0.0976083823796232,1940.239990234375,20.200000762939453,1116.4000244140625
2016-01-30,29,631328870296.118,957,2.511144256453232,2.614819269641565,2.394791880429713,2.4359908377198662,47472,35.4292821680805,76942555.49948,14648,67198755701.0543,50000000000.0,0.0058,1.17118502,0.0592152210049319,1940.239990234375,20.200000762939453,1116.4000244140625
2016-01-31,30,603213673889.342,862,2.431237527903806,2.533344877996215,2.182308440393213,2.295792593081857,48334,33.8837693667839,76968237.37448,14163,66544976812.6165,50000000000.0,0.0049,1.22574986,0.0992705664622066,1940.239990234375,20.200000762939453,1116.4000244140625
2016-02-01,31,633701606958.144,642,2.300917815354803,2.300917815354803,2.102586068459245,2.205558396134186,48976,32.5392274162166,76994668.62448,14187,66170097350.0375,50000000000.0,0.0026,1.13696594,0.0580562339012081,1939.3800048828125,19.979999542236328,1127.9000244140625
