t,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,V1
2016-03-06,1160945650750440000,179107,397.3254571487639,410.08491398876174,388.3903982430186,404.6277893211019,131922275,39.12461422,15287175.0,161591,0.0228
2016-03-07,1063411842777270000,205091,404.7244403486499,415.671324349046,399.1692365844823,412.8005827105356,132127366,43.73955784,15290500.0,183122,0.0264
2016-03-08,1194951734280910000,234811,412.6505986775436,415.4092146859065,408.6428814742708,411.4093473295935,132362177,44.92403847,15294350.0,200144,0.0258
2016-03-09,1308537805726300000,220717,411.2127848452534,413.5809443722882,409.0606737020703,412.5996495317309,132582894,54.68048263,15298550.0,190220,0.027
2016-03-10,1220667891270340000,223217,412.6939388540332,416.4328727175247,410.8742940354341,415.96573582904114,132806111,41.07926816,15302425.0,188571,0.0246
2016-03-11,1270010095614160000,220422,416.1186020050336,421.5243006719744,415.3106447768697,419.645316497456,133026533,39.76764706,15306425.0,189656,0.0231
2016-03-12,1140388390414280000,196516,419.502274965149,420.9707957038436,407.1528268590389,410.139940852359,133223049,34.40586731,15310025.0,167869,0.0234
2016-03-13,1027014624072620000,181385,410.37824188949753,416.451936868193,410.37824188949753,412.61530446772593,133404434,35.80250793,15313350.0,149670,0.0225
2016-03-14,1203939471342340000,218784,412.5276508436271,415.4613580912968,412.1750971459968,415.05435298344673,133623218,41.05698574,15317150.0,191189,0.0267
2016-03-15,1247787884361540000,228028,415.0587839874355,416.6670920749294,412.90885655041313,415.4742785335744,133851246,42.88754793,15321175.0,202265,0.0252
2016-03-16,1207072827652850000,244745,415.45445460711744,416.24630548906737,413.67468905132057,416.2381856412929,134095991,47.99646002,15324975.0,211840,0.0249
2016-03-17,1100441496998940000,240987,416.06847453866266,419.4526069552679,415.9264180056546,418.5086720041087,134336978,46.32816082,15328500.0,208178,0.024
2016-03-18,1102155424268680000,234138,417.9794029277388,418.4331765994987,403.7184289839898,409.2494736684257,134571116,42.894972,15331900.0,205886,0.0219
2016-03-19,1125710636999590000,206161,408.7070049351888,410.5634596381103,405.0595031011748,409.6114015305549,134777277,34.35487023,15335300.0,177342,0.0231
2016-03-20,1185403218718680000,207820,409.06015657243006,414.5378769663888,408.25101923897387,411.6682983310386,134985097,33.74667059,15338950.0,177997,0.0237
2016-03-21,1147922455268690000,223171,410.753704470609,411.89023840862376,407.1857586763446,411.7585748667672,135208268,41.13390235,15342425.0,198867,0.0243
2016-03-22,1208891154718910000,235751,411.35789631934847,417.2912678844276,410.9387881827116,416.5476187546335,135444019,42.63768215,15346125.0,205060,0.0249
2016-03-23,1223597678603660000,221312,416.5523048075309,418.8162764579039,414.53844622140633,417.53883195340177,135665331,38.35156743,15349850.0,186659,0.0243
2016-03-24,1201827833592550000,215570,417.58521919501584,417.6040713990575,412.6839146718869,412.6839146718869,135880901,38.50255692,15353525.0,189947,0.0228
2016-03-25,1199973522957640000,200694,413.5058252479485,416.7510305195253,412.20103894755937,416.3595573150922,136081595,32.7033762,15357175.0,172163,0.0222
2016-03-26,1286225454713260000,179322,416.2860003927789,417.5888481972136,414.636556603296,416.9229832825688,136260917,35.8323759,15361000.0,158896,0.0213
2016-03-27,1148901720817850000,175069,416.9356509050869,426.5897963994968,415.969346603305,425.0114059718799,136435986,31.75097348,15364525.0,160125,0.0231
2016-03-28,1380469012282550000,212024,424.8434736111029,424.8434736111029,420.2629881833089,422.6782895074445,136648010,46.15473942,15368775.0,195910,0.0234
2016-03-29,1291263406283130000,219340,422.7801620923345,424.39005383162873,411.6765373578404,416.1195712728422,136867350,57.79052183,15372700.0,197252,0.0246
2016-03-30,1217895350261910000,225363,415.8763337929339,415.8763337929339,410.08056417626494,413.08440509498695,137092713,45.75345212,15376375.0,200881,0.0261
2016-03-31,1017719915808690000,220148,413.298729619821,417.2272182697917,413.298729619821,415.5563323266952,137312861,45.74989907,15379475.0,206352,0.0246
2016-04-01,1255511742445150000,228033,415.6151212286363,417.4442681589482,414.1924413341554,417.1655761916554,137540894,53.2276954,15383300.0,211769,0.0219
2016-04-02,1137741764279470000,204903,417.6652984519301,420.3051774804181,417.2533650608726,419.7207145718917,137745797,49.66375403,15386775.0,183364,0.0216
2016-04-03,1179651699835900000,199526,419.5618295031392,420.22285548059017,417.5839251498173,419.8253239918921,137945323,43.58224685,15390325.0,178287,0.0213
2016-04-04,1374710721924880000,237721,419.56153769728064,420.4400843399038,417.112235040525,419.362325459036,138183044,45.08180774,15394475.0,208763,0.0228
2016-04-05,1282089383171550000,235848,419.1456558444702,423.12374346141166,418.7432514155345,422.2472808455297,138418892,47.92742177,15398350.0,216021,0.0243
2016-04-06,1297703796762470000,241663,422.4995641376694,422.871006563989,421.0364843864117,421.31238406636857,138660555,58.44875393,15402275.0,219133,0.0237
2016-04-07,1166548726468650000,232527,421.1509197305697,422.3507381883495,418.92937622783575,421.15249323824656,138893082,44.73522886,15405750.0,218324,0.0234
2016-04-08,1193099224999070000,225591,420.5251316585348,424.1009414286276,417.6669115960851,418.7008248021261,139118673,43.53738918,15409350.0,214047,0.0228
2016-04-09,1357603293530780000,211233,418.8233890805352,419.4590939676701,414.5274547844013,419.1189017501917,139329906,36.54361898,15413400.0,196279,0.0207
2016-04-10,1401328926878170000,200421,419.0849922243215,423.42783597637634,417.8333305587556,422.0637750410789,139530327,33.25339902,15417725.0,186781,0.0228
2016-04-11,1260164518994550000,230428,422.8406927302866,423.4991394443777,419.3636009712151,423.44435415721694,139760755,50.11203705,15421550.0,229887,0.0231
2016-04-12,1233499939987790000,255528,423.4983820019399,427.83035047634,423.1943470973274,426.7720846890872,140016283,50.75962758,15425250.0,240058,0.0246
2016-04-13,1357865491558510000,241141,426.10272539537846,429.00361659478233,423.4650320717376,424.9491271718547,140257424,45.74314812,15429350.0,223342,0.0252
2016-04-14,1418387229786200000,240589,424.64627960130974,427.0157378230245,422.1421235603058,425.73829926128775,140498013,44.86496577,15433450.0,227764,0.021
