t,Unnamed: 0,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,google_trends,transfers_med,sigma,gold,sp500,vix
2016-01-01,0,686999110083512000,145528,430.3587165555999,436.4340480067829,428.2702244720352,434.8839824640039,115629296,19.82080598,15032925.0,123957,0.0174,0.22977942,0.0116625642038235,1075.0999755859375,2012.6600341796875,20.700000762939453
2016-01-02,1,746668359157219000,181390,435.7194344773594,436.29446441997226,431.5546337160309,434.9224203390912,115810686,31.37600479,15036550.0,148893,0.0192,0.17128463,0.0076396399602301,1075.0999755859375,2012.6600341796875,20.700000762939453
2016-01-03,2,743237097095217000,172920,434.6358760430514,435.21807946760543,424.7770960180376,430.9997978270536,115983606,24.08304879,15040175.0,142463,0.0213,0.21320209,0.0163572934753337,1075.0999755859375,2012.6600341796875,20.700000762939453
2016-01-04,3,924970135345209000,214810,431.3623489693956,435.4516541157956,429.7742340474507,433.90199131687206,116198416,30.74684308,15044700.0,181173,0.021,0.21571393,0.0085325721309768,1075.0999755859375,2012.6600341796875,20.700000762939453
2016-01-05,4,806265480040695000,221131,433.527565219683,435.4955001216079,429.9722654694391,433.1665986957625,116419547,32.27846687,15048625.0,182214,0.0228,0.25584143,0.0090104774411625,1078.4000244140625,2016.7099609375,19.34000015258789
2016-01-06,5,721738994486882000,205167,432.39397570394414,433.293846682048,427.638538386503,429.9253492492494,116624714,30.40324362,15052150.0,171949,0.021,0.26591567,0.0085812401926921,1091.9000244140625,1990.260009765625,20.59000015258789
2016-01-07,6,759096203419657000,226692,430.7891858899023,459.697129066988,430.38671355968575,458.7099236879629,116851406,37.02453793,15055825.0,190087,0.0258,0.26495012,0.0254339973043241,1107.699951171875,1943.0899658203125,24.989999771118164
2016-01-08,7,879554005474851000,216202,457.7481678956261,463.85786193066224,447.026195285926,454.0532833086,117067608,32.53002298,15060150.0,181234,0.0246,0.25157212,0.0256453351466506,1097.800048828125,1922.030029296875,27.010000228881836
2016-01-09,8,782941644680379000,221115,453.92347176897454,455.2759295583932,447.2734132546905,449.69718279879146,117288723,30.22393822,15063925.0,179817,0.021,0.16553685,0.0111103217163718,1097.800048828125,1922.030029296875,27.010000228881836
2016-01-10,9,896073480357271000,203417,450.0525827327141,450.6612225850537,441.554347756469,448.9536352689756,117492140,27.95780106,15068300.0,161142,0.0192,0.19163852,0.0143552309576618,1097.800048828125,1922.030029296875,27.010000228881836
2016-01-11,10,865465360973001000,231149,449.5993797082685,452.1017949011784,440.6886815730203,448.6952497818272,117723289,35.90416653,15072550.0,191026,0.0231,0.24351949,0.0180364428691282,1096.5,1923.6700439453125,24.299999237060547
2016-01-12,11,881836663972653000,236785,448.5798437131517,448.6494788481384,435.48555090765376,435.48555090765376,117960074,34.70749772,15076800.0,194704,0.0189,0.243385,0.0102178129074776,1085.5999755859375,1938.6800537109375,22.469999313354492
2016-01-13,12,809090487327987000,223170,434.42503780492586,436.5205908392471,424.9806154628798,432.6577823362845,118183244,34.27954249,15080500.0,187983,0.0222,0.28324454,0.0187746239524123,1087.5,1890.280029296875,25.219999313354492
2016-01-14,13,743449187076371000,223873,432.7248030117097,434.7249487146549,427.7889470138801,430.0250259843386,118407117,31.82088874,15083825.0,183049,0.0219,0.2803239999999999,0.0106868902248583,1073.9000244140625,1921.8399658203125,23.950000762939453
2016-01-15,14,688538292706254000,220897,429.9345498828217,429.9345498828217,362.4305504507852,362.4305504507852,118628014,35.76071656,15086875.0,183520,0.0288,0.28739821,0.0575942548877957,1091.5,1880.3299560546875,27.020000457763672
2016-01-16,15,798064408978578000,254062,362.6224348864022,390.8104174425682,353.55245190549005,388.1881730585918,118882076,34.77336876,15090425.0,191158,0.03,0.20445909,0.0567990545017498,1091.5,1880.3299560546875,27.020000457763672
2016-01-17,16,848430484105265000,246802,386.8426375781687,390.5212074244624,377.2342855258601,379.148748639874,119128878,36.326795,15094200.0,203977,0.0258,0.2028703,0.0210529339835142,1091.5,1880.3299560546875,27.020000457763672
2016-01-18,17,976652915942155000,252982,378.39185822615246,387.44046353002193,373.5351049251068,384.928918248786,119381860,39.48023545,15098525.0,213732,0.0255,0.23860199,0.0235505269628676,1091.5,1880.3299560546875,27.020000457763672
2016-01-19,18,744551961061134000,210731,384.69197541469015,385.90817599974616,374.0849099951944,376.7663108392438,119592591,39.67840683,15101850.0,186725,0.0249,0.31487188,0.0177963512240596,1089.9000244140625,1881.3299560546875,26.049999237060547
