t,open,high,low,close
2016-01-01,0.9318858540679991,0.9556082149832261,0.9239468627888281,0.9422848690038801
2016-01-02,0.9395679597295981,0.9668349965028971,0.9329165304323831,0.9352310773519611
2016-01-03,0.934601870614133,0.9918329628542141,0.9276121577492671,0.9739000731639451
2016-01-04,0.967852016006122,0.9763837823799161,0.9168855406743551,0.9461480924825291
2016-01-05,0.9453978967502151,0.96782014916207,0.9422541217176921,0.9530695854880911
2016-01-06,0.9530695854880911,0.9650342571168021,0.9360012616446911,0.953449068118386
2016-01-07,0.95956998789418,0.979810222528782,0.9331721935314071,0.9436030098200341
2016-01-08,0.9381274052120121,0.9921658886580961,0.937590272148569,0.9892095640817821
2016-01-09,0.9892095640817821,1.000095162615943,0.9714781108576551,0.9869234252575391
2016-01-10,0.9857366703819811,1.010070105575494,0.9726369934833281,1.002572874043493
2016-01-11,0.999239117395423,1.076435709436228,0.999239117395423,1.06355132446286
2016-01-12,1.070961947872964,1.295591229927076,1.053993827066382,1.167405297323936
2016-01-13,1.136712209669991,1.155176518006119,1.074448545700476,1.123329404086042
2016-01-14,1.123329404086042,1.203846216727676,1.103218162782081,1.1921884812882
2016-01-15,1.19075532804646,1.324776340369739,1.141957944510017,1.196404992871069
2016-01-16,1.207862694587465,1.301038412497211,1.154055524356612,1.206682935952632
2016-01-17,1.219211940855114,1.320453763913116,1.1929883386041111,1.320453763913116
2016-01-18,1.32255900679063,1.533245193123083,1.307775529693782,1.4188710884001199
2016-01-19,1.41742066493395,1.447905612629693,1.28716265505309,1.357560603552854
2016-01-20,1.357328411771153,1.6240013944624372,1.339699469999811,1.531316648059859
2016-01-21,1.532112114786796,1.5828953396753391,1.478944328736413,1.5480606772398282
2016-01-22,1.5508321194901251,1.5827329059635842,1.465060283258547,1.508142890507989
2016-01-23,1.5087684925797409,2.051979231108304,1.4997361712412531,1.9649792768168322
2016-01-24,1.9104888007312941,2.295003897479383,1.9104888007312941,2.155134787771359
2016-01-25,2.148334378028972,2.673939759886702,2.060375996363673,2.4928035428709823
2016-01-26,2.518991163674634,2.850918190990694,1.954099248389539,2.261930684706117
2016-01-27,2.253181740881652,2.5859441821970712,2.162379433505501,2.403197956344677
2016-01-28,2.403197956344677,2.686282919572974,2.328488034676414,2.5291426450088
2016-01-29,2.5375322674369283,2.619997870697661,2.28169695673276,2.515380913011109
2016-01-30,2.511144256453232,2.614819269641565,2.394791880429713,2.4359908377198662
2016-01-31,2.431237527903806,2.533344877996215,2.182308440393213,2.295792593081857
