t,total_transactions
2016-11-15,280196
2016-11-16,289618
2016-11-17,277301
2016-11-18,275777
2016-11-19,249618
2016-11-20,243463
2016-11-21,285654
2016-11-22,285501
2016-11-23,276777
2016-11-24,328376
2016-11-25,315235
2016-11-26,277455
2016-11-27,237245
2016-11-28,298366
2016-11-29,289501
2016-11-30,292512
2016-12-01,239536
2016-12-02,315335
2016-12-03,287816
2016-12-04,245502
2016-12-05,277849
2016-12-06,319612
2016-12-07,310580
2016-12-08,282554
2016-12-09,268680
2016-12-10,250109
2016-12-11,229746
2016-12-12,268506
2016-12-13,291579
2016-12-14,286189
2016-12-15,282558
2016-12-16,279228
2016-12-17,237986
2016-12-18,235648
2016-12-19,281978
2016-12-20,296335
2016-12-21,325518
2016-12-22,314485
2016-12-23,304845
2016-12-24,240683
2016-12-25,197199
2016-12-26,244772
2016-12-27,296390
2016-12-28,305230
2016-12-29,304455
2016-12-30,286661
2016-12-31,250125
2017-01-01,180346
2017-01-02,290792
2017-01-03,301500
2017-01-04,328489
2017-01-05,288361
2017-01-06,346244
2017-01-07,281922
2017-01-08,259934
2017-01-09,269811
2017-01-10,323728
2017-01-11,302905
2017-01-12,294953
2017-01-13,272597
2017-01-14,242097
2017-01-15,235832
2017-01-16,267471
2017-01-17,292539
2017-01-18,296950
2017-01-19,300431
2017-01-20,298188
2017-01-21,263381
2017-01-22,236712
2017-01-23,235392
2017-01-24,278028
2017-01-25,304578
2017-01-26,313600
2017-01-27,263162
2017-01-28,246243
2017-01-29,241460
2017-01-30,247264
2017-01-31,307538
2017-02-01,350368
2017-02-02,259402
2017-02-03,323414
2017-02-04,284634
2017-02-05,291942
2017-02-06,229902
2017-02-07,325117
2017-02-08,308170
2017-02-09,346375
2017-02-10,301642
2017-02-11,262547
2017-02-12,237604
2017-02-13,288127
2017-02-14,314915
2017-02-15,294647
2017-02-16,283052
2017-02-17,319616
2017-02-18,285992
2017-02-19,251587
2017-02-20,282580
2017-02-21,278952
2017-02-22,282056
2017-02-23,325763
2017-02-24,343642
2017-02-25,326354
2017-02-26,265025
2017-02-27,284411
2017-02-28,325261
2017-03-01,315739
2017-03-02,329271
2017-03-03,337159
2017-03-04,265648
2017-03-05,280592
2017-03-06,287589
2017-03-07,327749
2017-03-08,296966
2017-03-09,303484
2017-03-10,308326
2017-03-11,280532
2017-03-12,220955
2017-03-13,272934
2017-03-14,310239
2017-03-15,292292
2017-03-16,326881
2017-03-17,292042
2017-03-18,263373
2017-03-19,269171
2017-03-20,276897
2017-03-21,287913
2017-03-22,316434
2017-03-23,287723
2017-03-24,289345
2017-03-25,242842
2017-03-26,221749
2017-03-27,232159
2017-03-28,293846
2017-03-29,283793
2017-03-30,288624
2017-03-31,259268
2017-04-01,255739
2017-04-02,244045
2017-04-03,287965
2017-04-04,255890
2017-04-05,316393
2017-04-06,290318
2017-04-07,295301
2017-04-08,226822
2017-04-09,238127
2017-04-10,273237
2017-04-11,307726
2017-04-12,277951
2017-04-13,228552
2017-04-14,290069
2017-04-15,270555
2017-04-16,211683
2017-04-17,245046
2017-04-18,302945
2017-04-19,309961
2017-04-20,267777
2017-04-21,330187
2017-04-22,268567
2017-04-23,244886
2017-04-24,222547
2017-04-25,325239
2017-04-26,334318
2017-04-27,297737
2017-04-28,305135
2017-04-29,341146
2017-04-30,281338
2017-05-01,294636
2017-05-02,333003
2017-05-03,295017
2017-05-04,354569
2017-05-05,267064
2017-05-06,362854
2017-05-07,315844
2017-05-08,364916
2017-05-09,332724
2017-05-10,311243
2017-05-11,294608
2017-05-12,317544
2017-05-13,329108
2017-05-14,368934
2017-05-15,329059
2017-05-16,233845
2017-05-17,317372
2017-05-18,288762
2017-05-19,319338
2017-05-20,352640
2017-05-21,325910
2017-05-22,327722
2017-05-23,367542
2017-05-24,338488
2017-05-25,349951
2017-05-26,333187
2017-05-27,331746
2017-05-28,307978
2017-05-29,321487
2017-05-30,347782
2017-05-31,321470
2017-06-01,319539
2017-06-02,271393
2017-06-03,305128
2017-06-04,265883
2017-06-05,289766
2017-06-06,297265
2017-06-07,339555
2017-06-08,307212
2017-06-09,282033
2017-06-10,254852
2017-06-11,222746
2017-06-12,268951
2017-06-13,291635
2017-06-14,287504
2017-06-15,292988
2017-06-16,269789
2017-06-17,236409
2017-06-18,209214
2017-06-19,269623
2017-06-20,269300
2017-06-21,280063
2017-06-22,269546
2017-06-23,259778
2017-06-24,226981
2017-06-25,180597
2017-06-26,261764
2017-06-27,259606
2017-06-28,279654
2017-06-29,230934
2017-06-30,267206
2017-07-01,221692
2017-07-02,196351
2017-07-03,253074
2017-07-04,255330
2017-07-05,236859
2017-07-06,224964
2017-07-07,243466
2017-07-08,220670
2017-07-09,187986
2017-07-10,251525
2017-07-11,265586
2017-07-12,256961
2017-07-13,245738
2017-07-14,227764
2017-07-15,221724
2017-07-16,203002
2017-07-17,230167
2017-07-18,260410
2017-07-19,253619
2017-07-20,230037
2017-07-21,268289
2017-07-22,223198
2017-07-23,180859
2017-07-24,239894
2017-07-25,243888
2017-07-26,237706
2017-07-27,225215
2017-07-28,247057
2017-07-29,210977
2017-07-30,183998
2017-07-31,230867
2017-08-01,131726
2017-08-02,209169
2017-08-03,212879
2017-08-04,235613
2017-08-05,239594
2017-08-06,199487
2017-08-07,248849
2017-08-08,275410
2017-08-09,260817
2017-08-10,257831
2017-08-11,283857
2017-08-12,260386
2017-08-13,263162
2017-08-14,255232
2017-08-15,310850
2017-08-16,274736
2017-08-17,347140
2017-08-18,312101
2017-08-19,266681
2017-08-20,210722
2017-08-21,236657
2017-08-22,196194
2017-08-23,315575
2017-08-24,203704
2017-08-25,208068
2017-08-26,226380
2017-08-27,261736
2017-08-28,223642
2017-08-29,280967
2017-08-30,271298
2017-08-31,280561
2017-09-01,283496
2017-09-02,236647
2017-09-03,195135
2017-09-04,269105
2017-09-05,277751
2017-09-06,276063
2017-09-07,256198
2017-09-08,279313
2017-09-09,217721
2017-09-10,193102
2017-09-11,253318
2017-09-12,256042
2017-09-13,263130
2017-09-14,267894
2017-09-15,291899
2017-09-16,228088
2017-09-17,197507
2017-09-18,218077
2017-09-19,282761
2017-09-20,235606
2017-09-21,255081
2017-09-22,227476
2017-09-23,203695
2017-09-24,185132
2017-09-25,226478
2017-09-26,263510
2017-09-27,257814
2017-09-28,275799
2017-09-29,254269
2017-09-30,212540
2017-10-01,203523
2017-10-02,294852
2017-10-03,281949
2017-10-04,232692
2017-10-05,273118
2017-10-06,283540
2017-10-07,231068
2017-10-08,238203
2017-10-09,296785
2017-10-10,302941
2017-10-11,292320
2017-10-12,293011
2017-10-13,309683
2017-10-14,292999
2017-10-15,283278
2017-10-16,314551
2017-10-17,334274
2017-10-18,329428
2017-10-19,356807
2017-10-20,312230
2017-10-21,312104
2017-10-22,288949
2017-10-23,315925
2017-10-24,347053
2017-10-25,315230
2017-10-26,265647
2017-10-27,246588
2017-10-28,206981
2017-10-29,333871
2017-10-30,315930
2017-10-31,277397
2017-11-01,351373
2017-11-02,341324
2017-11-03,277479
2017-11-04,293991
2017-11-05,251587
2017-11-06,270896
2017-11-07,335480
2017-11-08,301202
2017-11-09,341128
2017-11-10,271625
2017-11-11,194554
2017-11-12,185886
2017-11-13,309159
2017-11-14,271867
2017-11-15,321636
2017-11-16,310244
2017-11-17,306450
2017-11-18,270738
2017-11-19,264695
2017-11-20,336029
2017-11-21,370918
2017-11-22,311885
2017-11-23,352050
2017-11-24,305586
2017-11-25,336533
2017-11-26,329524
2017-11-27,379086
2017-11-28,365821
2017-11-29,397917
2017-11-30,384219
2017-12-01,412725
2017-12-02,326193
2017-12-03,352868
2017-12-04,400505
2017-12-05,405531
2017-12-06,443399
2017-12-07,374765
2017-12-08,384936
2017-12-09,403225
2017-12-10,341256
2017-12-11,368427
2017-12-12,372821
2017-12-13,424393
2017-12-14,490459
2017-12-15,405507
2017-12-16,364051
2017-12-17,391725
2017-12-18,394057
2017-12-19,378482
2017-12-20,370141
2017-12-21,335350
2017-12-22,380493
2017-12-23,308072
2017-12-24,279371
2017-12-25,228791
2017-12-26,247298
2017-12-27,307486
2017-12-28,304904
2017-12-29,353659
2017-12-30,344260
2017-12-31,290259
2018-01-01,241601
2018-01-02,340809
2018-01-03,395806
2018-01-04,424840
2018-01-05,342564
2018-01-06,358679
2018-01-07,368025
2018-01-08,345506
2018-01-09,360101
2018-01-10,347227
2018-01-11,337766
2018-01-12,299913
2018-01-13,265586
2018-01-14,234890
2018-01-15,273473
2018-01-16,303566
2018-01-17,315604
2018-01-18,309322
2018-01-19,243454
2018-01-20,240433
2018-01-21,215435
2018-01-22,245395
2018-01-23,271759
2018-01-24,250247
2018-01-25,236422
2018-01-26,220304
2018-01-27,193421
2018-01-28,213288
2018-01-29,232028
2018-01-30,236442
2018-01-31,204159
2018-02-01,257504
2018-02-02,235750
2018-02-03,194733
2018-02-04,173509
2018-02-05,216178
2018-02-06,243950
2018-02-07,213578
2018-02-08,173158
2018-02-09,177725
2018-02-10,181640
2018-02-11,147057
2018-02-12,186752
2018-02-13,182820
2018-02-14,196238
2018-02-15,198052
2018-02-16,187581
2018-02-17,173640
2018-02-18,159333
2018-02-19,187205
2018-02-20,198314
2018-02-21,205032
2018-02-22,183086
2018-02-23,185045
2018-02-24,154389
2018-02-25,144698
2018-02-26,186333
2018-02-27,219464
2018-02-28,189068
2018-03-01,233579
2018-03-02,194917
2018-03-03,176844
2018-03-04,160083
2018-03-05,201289
2018-03-06,205860
2018-03-07,213821
2018-03-08,196260
2018-03-09,198034
2018-03-10,156088
2018-03-11,150731
2018-03-12,188233
2018-03-13,195982
2018-03-14,190898
2018-03-15,206042
2018-03-16,186823
2018-03-17,154347
2018-03-18,164250
2018-03-19,191373
2018-03-20,195041
2018-03-21,194694
2018-03-22,185044
2018-03-23,179685
2018-03-24,156931
2018-03-25,135139
2018-03-26,187700
2018-03-27,186913
2018-03-28,177386
2018-03-29,192259
2018-03-30,185778
2018-03-31,148489
2018-04-01,134967
2018-04-02,168022
2018-04-03,198756
2018-04-04,185563
2018-04-05,181676
2018-04-06,172751
2018-04-07,154459
2018-04-08,138374
2018-04-09,176416
2018-04-10,186251
2018-04-11,183087
2018-04-12,210725
2018-04-13,217117
2018-04-14,161706
2018-04-15,173868
2018-04-16,195965
2018-04-17,201658
2018-04-18,200580
2018-04-19,213345
2018-04-20,207640
2018-04-21,193816
2018-04-22,171710
2018-04-23,226200
2018-04-24,254334
2018-04-25,213032
2018-04-26,216591
2018-04-27,210977
2018-04-28,203553
2018-04-29,180640
2018-04-30,214952
2018-05-01,199801
2018-05-02,212156
2018-05-03,228370
2018-05-04,218931
2018-05-05,202542
2018-05-06,171624
2018-05-07,204913
2018-05-08,217671
2018-05-09,206419
2018-05-10,208807
2018-05-11,213497
2018-05-12,181889
2018-05-13,158646
2018-05-14,209565
2018-05-15,214633
2018-05-16,208284
2018-05-17,192551
2018-05-18,211348
2018-05-19,173120
2018-05-20,158519
2018-05-21,202490
2018-05-22,203186
2018-05-23,223034
2018-05-24,206682
2018-05-25,196005
2018-05-26,158621
2018-05-27,144140
2018-05-28,188907
2018-05-29,204630
2018-05-30,203903
2018-05-31,209356
2018-06-01,205315
2018-06-02,174345
2018-06-03,163280
2018-06-04,209733
2018-06-05,212726
2018-06-06,206270
2018-06-07,207484
2018-06-08,200234
2018-06-09,171163
2018-06-10,179682
2018-06-11,213056
2018-06-12,214450
2018-06-13,211686
2018-06-14,209876
2018-06-15,205708
2018-06-16,158924
2018-06-17,144751
2018-06-18,196141
2018-06-19,191650
2018-06-20,198734
2018-06-21,197943
2018-06-22,203993
2018-06-23,163135
2018-06-24,157851
2018-06-25,200016
2018-06-26,195258
2018-06-27,188389
2018-06-28,187467
2018-06-29,197730
2018-06-30,180924
2018-07-01,156100
2018-07-02,199153
2018-07-03,216631
2018-07-04,206654
2018-07-05,199463
2018-07-06,200833
2018-07-07,170004
2018-07-08,155527
2018-07-09,206410
2018-07-10,215914
2018-07-11,202468
2018-07-12,203394
2018-07-13,207761
2018-07-14,176342
2018-07-15,161018
2018-07-16,207722
2018-07-17,233807
2018-07-18,238595
2018-07-19,224868
2018-07-20,225375
2018-07-21,184666
2018-07-22,166947
2018-07-23,229314
2018-07-24,259199
2018-07-25,250031
2018-07-26,231514
2018-07-27,229230
2018-07-28,188093
2018-07-29,168237
2018-07-30,230790
2018-07-31,242830
2018-08-01,240894
2018-08-02,224720
2018-08-03,229693
2018-08-04,191481
2018-08-05,172021
2018-08-06,218476
2018-08-07,232894
2018-08-08,235154
2018-08-09,222177
2018-08-10,225972
2018-08-11,192268
2018-08-12,164889
2018-08-13,222079
2018-08-14,247486
2018-08-15,245905
2018-08-16,232177
2018-08-17,233642
2018-08-18,190775
2018-08-19,167255
2018-08-20,214833
2018-08-21,217629
2018-08-22,230173
2018-08-23,217203
2018-08-24,219702
2018-08-25,196285
2018-08-26,172574
2018-08-27,223471
2018-08-28,237886
2018-08-29,237369
2018-08-30,231237
2018-08-31,236921
2018-09-01,213180
2018-09-02,187001
2018-09-03,222753
2018-09-04,232139
2018-09-05,246345
2018-09-06,252111
2018-09-07,230638
2018-09-08,204278
2018-09-09,188749
2018-09-10,222731
2018-09-11,237430
2018-09-12,233107
2018-09-13,234061
2018-09-14,223118
2018-09-15,210931
2018-09-16,179344
2018-09-17,240017
2018-09-18,244117
2018-09-19,250881
