t,new_btc
2016-01-01,3375.0
2016-01-02,3625.0
2016-01-03,3625.0
2016-01-04,4525.0
2016-01-05,3924.999999999996
2016-01-06,3525.000000000004
2016-01-07,3675.0
2016-01-08,4325.000000000003
2016-01-09,3775.0
2016-01-10,4375.0
2016-01-11,4250.0
2016-01-12,4250.0
2016-01-13,3700.0
2016-01-14,3325.0
2016-01-15,3050.0
2016-01-16,3550.0
2016-01-17,3775.0
2016-01-18,4324.999999999998
2016-01-19,3325.0
2016-01-20,3799.999999999998
2016-01-21,3425.0
2016-01-22,4399.999999999999
2016-01-23,4475.0
2016-01-24,4275.000000000005
2016-01-25,4049.9999999999995
2016-01-26,3999.999999999996
2016-01-27,3875.0
2016-01-28,3650.0
2016-01-29,4225.0
2016-01-30,4675.0
2016-01-31,4525.0
2016-02-01,4025.0
2016-02-02,4500.0
2016-02-03,4475.0
2016-02-04,4200.0
2016-02-05,4699.999999999996
2016-02-06,5000.000000000004
2016-02-07,4400.000000000004
2016-02-08,3700.000000000001
2016-02-09,4400.0
2016-02-10,4100.0
2016-02-11,4800.0000000000055
2016-02-12,4275.000000000002
2016-02-13,3900.000000000002
2016-02-14,4149.999999999998
2016-02-15,3800.0000000000027
2016-02-16,3449.999999999995
2016-02-17,3874.999999999997
2016-02-18,4225.000000000005
2016-02-19,3625.0000000000014
2016-02-20,3750.000000000001
2016-02-21,3200.000000000004
2016-02-22,3175.0000000000023
2016-02-23,3400.0
2016-02-24,2950.0
2016-02-25,3874.999999999997
2016-02-26,3500.0
2016-02-27,3674.999999999995
2016-02-28,3350.0000000000045
2016-02-29,3325.0
2016-03-01,3525.000000000001
2016-03-02,3924.999999999999
2016-03-03,3374.9999999999995
2016-03-04,3875.0000000000036
2016-03-05,3750.0000000000045
2016-03-06,3700.000000000005
2016-03-07,3325.0000000000027
2016-03-08,3850.000000000002
2016-03-09,4199.999999999997
2016-03-10,3875.000000000005
2016-03-11,3999.9999999999964
2016-03-12,3600.0000000000036
2016-03-13,3325.000000000002
2016-03-14,3799.999999999995
2016-03-15,4024.999999999998
2016-03-16,3799.9999999999955
2016-03-17,3524.9999999999964
2016-03-18,3399.9999999999973
2016-03-19,3399.9999999999973
2016-03-20,3649.999999999999
2016-03-21,3474.9999999999964
2016-03-22,3699.999999999997
2016-03-23,3724.999999999996
2016-03-24,3674.9999999999986
2016-03-25,3649.9999999999986
2016-03-26,3824.9999999999955
2016-03-27,3524.9999999999973
2016-03-28,4250.000000000005
2016-03-29,3924.9999999999964
2016-03-30,3675.0000000000036
2016-03-31,3100.000000000001
2016-04-01,3825.000000000004
2016-04-02,3475.0
2016-04-03,3549.9999999999973
2016-04-04,4150.000000000002
2016-04-05,3875.000000000005
2016-04-06,3924.999999999996
2016-04-07,3475.000000000004
2016-04-08,3600.000000000004
2016-04-09,4049.9999999999977
2016-04-10,4325.000000000005
2016-04-11,3825.000000000002
2016-04-12,3700.000000000003
2016-04-13,4100.000000000001
2016-04-14,4099.999999999999
2016-04-15,3474.9999999999973
2016-04-16,3449.999999999999
2016-04-17,3950.0000000000045
2016-04-18,3350.000000000001
2016-04-19,3749.9999999999973
2016-04-20,4124.9999999999945
2016-04-21,3774.999999999996
2016-04-22,3574.999999999998
2016-04-23,3600.000000000005
2016-04-24,3300.000000000001
2016-04-25,3174.9999999999955
