t,total_addresses
2016-01-01,115629296
2016-01-02,115810686
2016-01-03,115983606
2016-01-04,116198416
2016-01-05,116419547
2016-01-06,116624714
2016-01-07,116851406
2016-01-08,117067608
2016-01-09,117288723
2016-01-10,117492140
2016-01-11,117723289
2016-01-12,117960074
2016-01-13,118183244
2016-01-14,118407117
2016-01-15,118628014
2016-01-16,118882076
2016-01-17,119128878
2016-01-18,119381860
2016-01-19,119592591
2016-01-20,119861785
2016-01-21,120133961
2016-01-22,120393674
2016-01-23,120630106
2016-01-24,120866209
2016-01-25,121140581
2016-01-26,121428098
2016-01-27,121707305
2016-01-28,122000559
2016-01-29,122293833
2016-01-30,122543689
2016-01-31,122767413
2016-02-01,123048042
2016-02-02,123370902
2016-02-03,123618464
2016-02-04,123866775
2016-02-05,124139344
2016-02-06,124404862
2016-02-07,124677450
2016-02-08,124938994
2016-02-09,125215631
2016-02-10,125489974
2016-02-11,125769228
2016-02-12,126035926
2016-02-13,126274297
2016-02-14,126500603
2016-02-15,126761352
2016-02-16,127019837
2016-02-17,127310650
2016-02-18,127579514
2016-02-19,127845786
2016-02-20,128102564
2016-02-21,128340101
2016-02-22,128621901
2016-02-23,128903598
2016-02-24,129149453
2016-02-25,129413971
2016-02-26,129657146
2016-02-27,129890471
2016-02-28,130159815
2016-02-29,130439086
2016-03-01,130726654
2016-03-02,131026206
2016-03-03,131263617
2016-03-04,131494911
2016-03-05,131743168
2016-03-06,131922275
2016-03-07,132127366
2016-03-08,132362177
2016-03-09,132582894
2016-03-10,132806111
2016-03-11,133026533
2016-03-12,133223049
2016-03-13,133404434
2016-03-14,133623218
2016-03-15,133851246
2016-03-16,134095991
2016-03-17,134336978
2016-03-18,134571116
2016-03-19,134777277
2016-03-20,134985097
2016-03-21,135208268
2016-03-22,135444019
2016-03-23,135665331
2016-03-24,135880901
2016-03-25,136081595
2016-03-26,136260917
2016-03-27,136435986
2016-03-28,136648010
2016-03-29,136867350
2016-03-30,137092713
2016-03-31,137312861
2016-04-01,137540894
2016-04-02,137745797
2016-04-03,137945323
2016-04-04,138183044
2016-04-05,138418892
2016-04-06,138660555
2016-04-07,138893082
2016-04-08,139118673
2016-04-09,139329906
2016-04-10,139530327
