t,open,high,low,close
2016-01-01,430.35871655559987,436.4340480067829,428.27022447203524,434.8839824640039
2016-01-02,435.7194344773594,436.29446441997226,431.55463371603093,434.92242033909116
2016-01-03,434.6358760430514,435.21807946760543,424.77709601803764,430.9997978270536
2016-01-04,431.3623489693956,435.45165411579563,429.7742340474507,433.90199131687206
2016-01-05,433.527565219683,435.4955001216079,429.9722654694391,433.16659869576245
2016-01-06,432.39397570394414,433.293846682048,427.638538386503,429.9253492492494
2016-01-07,430.7891858899023,459.69712906698794,430.38671355968575,458.7099236879629
2016-01-08,457.7481678956261,463.85786193066224,447.02619528592595,454.05328330860004
2016-01-09,453.92347176897454,455.27592955839316,447.2734132546905,449.69718279879146
2016-01-10,450.0525827327141,450.6612225850537,441.554347756469,448.95363526897563
2016-01-11,449.5993797082685,452.10179490117844,440.6886815730203,448.69524978182716
2016-01-12,448.5798437131517,448.64947884813836,435.48555090765376,435.48555090765376
2016-01-13,434.42503780492586,436.52059083924706,424.9806154628798,432.6577823362845
2016-01-14,432.7248030117097,434.7249487146549,427.7889470138801,430.0250259843386
2016-01-15,429.9345498828217,429.9345498828217,362.4305504507852,362.4305504507852
2016-01-16,362.6224348864022,390.8104174425682,353.55245190549005,388.1881730585918
2016-01-17,386.8426375781687,390.5212074244624,377.2342855258601,379.148748639874
2016-01-18,378.39185822615246,387.44046353002193,373.5351049251068,384.928918248786
2016-01-19,384.69197541469015,385.90817599974616,374.0849099951944,376.7663108392438
2016-01-20,376.0172897766199,423.12217243535844,372.2866240908041,419.22525017175093
2016-01-21,418.408665446888,422.90111195719874,404.6674860641499,409.26809902414743
2016-01-22,409.1257635968251,411.20372063505073,375.3452536938142,383.29492881453876
2016-01-23,382.98671209899317,394.9817295795369,382.2347209873462,386.9158595464536
2016-01-24,386.9924405341345,405.76210497600584,386.57913909427856,402.8010750231029
2016-01-25,402.2985080997672,402.2985080997672,386.83668249979075,391.1212623042642
2016-01-26,391.55810261914814,396.9338973397567,388.91795319244545,391.6668140869515
2016-01-27,391.99949562305187,396.6729304828722,390.897339497621,394.4466804448489
2016-01-28,394.4891280886557,394.9635355075363,379.1515814776148,379.75057770315664
2016-01-29,379.56951268186236,383.90832478999306,364.8181255545636,378.6405195412309
2016-01-30,378.2464676359873,381.06544954244305,375.8997924140922,377.3488875787101
2016-01-31,378.3709272533992,381.7772791848118,365.92052201868745,367.9508595508954
2016-02-01,368.69310616285946,378.1983355938331,366.90588584866475,371.37052319412066
2016-02-02,371.5211873321738,374.5546852260905,371.3657419435424,372.96226926144027
2016-02-03,373.02352708312935,373.6635199265637,366.0932636283886,368.53490319794935
2016-02-04,368.49265136811164,390.74875916546534,368.49265136811164,388.09502866803325
2016-02-05,387.5783969899314,389.1494899148232,383.5259933273911,383.9341258581022
2016-02-06,384.24445645170135,384.29510452377343,371.19652212477286,375.22738704758757
2016-02-07,375.3993611015952,379.73779902182406,373.40515983173293,376.42862922366214
2016-02-08,376.4416379746159,379.0508593584616,370.57802501821305,371.21694243336185
2016-02-09,371.00253367932,375.78505053119954,370.4847559609786,372.7623707800957
2016-02-10,372.8909209145501,383.0624754576742,372.27312151536586,378.95173421310903
2016-02-11,379.25209726461486,379.6994374797151,371.6762338315897,378.14838162107424
2016-02-12,378.0491167095266,382.76047465093416,377.7213863300036,382.39209701651856
2016-02-13,382.38526414171366,390.65036662988143,382.38526414171366,390.65036662988143
2016-02-14,391.7365970576433,406.5740594276338,391.7365970576433,406.5740594276338
2016-02-15,406.0768925832732,409.21643804010426,394.1119026298382,398.8081586422428
2016-02-16,399.1250617775937,407.29179752719045,397.63057560087077,407.238241647739
2016-02-17,407.3673939966231,420.37343828994034,405.6882097659597,414.8979246844353
2016-02-18,415.65935390729356,424.2688989437894,415.65935390729356,421.16569563372616
2016-02-19,421.1418436840948,421.97115456487234,416.0612186276734,420.44353590336175
2016-02-20,420.75063490094834,443.1483086627808,420.75063490094834,434.6179274199626
2016-02-21,435.9689939294623,448.04374239815644,426.9860164272151,438.47243072984276
2016-02-22,438.4174054977225,439.30995460652923,431.9801682074206,437.4889589178774
2016-02-23,437.52016180943804,440.51096053324954,415.270242970443,419.61022318481594
2016-02-24,420.0380972383423,424.92714352211533,411.6882643220032,423.851263269437
2016-02-25,423.90103317360825,426.2255859039856,417.51578995247576,423.5093989250703
2016-02-26,423.48724477004697,430.6719637219394,418.940816141802,430.6719637219394
2016-02-27,431.69728974703537,434.7095165097973,429.15824735427384,432.1432341275273
